"question","expected_source","expected_answer_summary","answerable_yes_no"
"An employee is scheduled to start at 9:00 AM and checks in at 9:04 AM. Should they be classified as late?","Attendance & Shift Check-In SOP","No. Check-ins from 10 minutes before the scheduled start through 5 minutes after are considered On Time.","Yes"
"An employee checks in 22 minutes after their scheduled shift start. How should the attendance record be classified, and is any additional action required?","Attendance & Shift Check-In SOP","It is Late – Level 2 because the employee is 16–30 minutes late. They must provide a reason in the attendance portal before the end of the shift.","Yes"
"TimeTrack is down when an employee's shift begins. What must the employee do to document their attempted check-in?","Attendance & Shift Check-In SOP","Within 10 minutes of shift start, post in the designated attendance Slack channel with employee ID, scheduled shift, attempted check-in time, and a screenshot or description of the error.","Yes"
"An employee has two excused late arrivals of 10 minutes each within the last 30 days and is late by 12 minutes again due to exceptional circumstances. Can the Team Lead excuse the third incident independently?","Attendance & Shift Check-In SOP","No. A Team Lead may excuse up to two late arrivals of 15 minutes or less within a rolling 30-day period. A third requires Operations Manager approval to be excused.","Yes"
"An employee was actively working but forgot to check in and requests a correction four days later. Who must approve the retroactive check-in?","Attendance & Shift Check-In SOP","Operations Manager approval is required because retroactive corrections submitted more than 72 hours after the shift require manager approval.","Yes"
"How many paid sick days does a Northstar employee receive each year?","None — not covered by the five SOPs","The knowledge base does not specify annual paid sick-leave entitlement. The Copilot should state that this information is unavailable rather than infer a number.","No"
"A customer has contacted Northstar three times in five days about the same unresolved issue. What escalation level applies?","Customer Escalation Policy","Level 2 – Team Lead Review applies when the same customer contacts Northstar three or more times about the same unresolved issue within seven days.","Yes"
"A calm customer reports a possible substantial exposure of customer data. Should the case remain Level 1 because the customer is not upset?","Customer Escalation Policy","No. Customer emotion does not determine escalation level. Substantial data exposure is a Level 4 Critical Incident and requires immediate notification of the Operations Manager and Incident Response contact.","Yes"
"A customer says, “I'm going to sue you.” Does that automatically make the case a Level 4 escalation?","Customer Escalation Policy","No. A general legal threat is normally Level 2 unless there is an active lawsuit, attorney communication, regulatory filing, formal legal notice, or another rule requiring a higher level.","Yes"
"A support agent creates a Level 3 escalation and sends the manager a Slack message, but the manager has not acknowledged the case. Has ownership transferred?","Customer Escalation Policy","No. Ownership remains with the employee until the receiving Lead or Manager acknowledges the case in NSD or explicitly confirms ownership. For Level 3 or 4, no response within 15 minutes triggers escalation to the next available manager.","Yes"
"What phone number should employees call when the designated Incident Response contact cannot be reached?","None — not covered by the five SOPs","The SOP defines escalation responsibilities but does not provide an Incident Response phone number. The Copilot should not invent one.","No"
"An employee receives five quality reviews in a month. What minimum review-selection requirements should normally be represented in that sample?","Quality Review Guidelines","Normally, at least two reviews should be randomly selected, one should involve a complex or higher-risk case where available, and one should come from the employee's most recent 10 working days.","Yes"
"An employee receives a numerical quality score of 94%, but the review found that they disclosed protected customer information without authorization. Does the case pass?","Quality Review Guidelines","No. Unauthorized disclosure of protected customer information is a Critical Error, which causes the entire review to fail regardless of the numerical score.","Yes"
"An employee appeals a quality review. The second Quality Analyst gives a score that differs from the original score by seven percentage points. What happens next?","Quality Review Guidelines","Because the scores differ by five or more percentage points, the case must be sent to a Team Lead or Senior Quality Analyst for adjudication.","Yes"
"A Quality Analyst has 77% agreement with approved gold-standard labels across the rolling 20-decision calibration sample. Can they continue performing independent production reviews?","Quality Review Guidelines","Normally no. Agreement below 80% should result in temporary removal from independent production reviews until recalibration is completed.","Yes"
"What exact monetary bonus does a Quality Analyst receive for maintaining more than 95% gold-label agreement?","None — not covered by the five SOPs","The knowledge base contains calibration thresholds but does not specify bonuses or compensation tied to reviewer agreement.","No"
"A customer requests a refund 45 days after the original charge. Can the request still be considered, and whose approval is required?","Refund & Exception Policy","Yes. Requests submitted 31–60 days after the charge may still be considered but require Team Lead approval.","Yes"
"Three $70 refunds are caused by the same billing error. Can a Support Specialist approve them as three separate refunds because each transaction is below $75?","Refund & Exception Policy","No. Approval limits apply to the total financial adjustment for the underlying issue. The three refunds total $210, so they cannot be split to remain under the Support Specialist's $75 authority.","Yes"
"A customer's account has been flagged for suspected refund abuse, but records confirm that Northstar charged them twice for the same service. Must the refund be denied because of the fraud flag?","Refund & Exception Policy","No. A fraud flag does not automatically require denial. Legitimate duplicate charges and confirmed billing errors should still be corrected even when the customer is under review.","Yes"
"After Northstar submits an approved card refund to the payment processor, which bank will return the money to the customer fastest?","None — not covered by the five SOPs","The SOP says customers may need an additional 3–10 business days depending on their financial institution, but it does not rank banks or identify which bank is fastest.","No"
"A new employee scores 82% on their final training assessment. Can they proceed directly to production?","New Employee Training SOP","Not automatically. Employees scoring 80–84% may receive one remediation session and one reassessment. The final assessment normally requires at least 85%.","Yes"
"During supervised production, a trainee is asked to independently process a $500 refund because the queue is understaffed. Is that permitted?","New Employee Training SOP","No. Trainees must not independently process refunds above $75. Restricted work requires assistance, and understaffing does not override certification or training restrictions.","Yes"
"A trainee finishes the five-day nesting period with an average quality score of 77%. What should normally happen?","New Employee Training SOP","Nesting should normally be extended by three to five working days because the trainee's average quality is below 80%.","Yes"
"What brand and model of laptop should a new Northstar employee receive during onboarding?","None — not covered by the five SOPs","The knowledge base does not specify hardware brands or laptop models issued to new employees.","No"
"What health-insurance provider does Northstar use for new employees, and when does coverage begin?","None — not covered by the five SOPs","Employee insurance providers and benefit-enrollment dates are not specified in these SOPs. The Copilot should indicate that the information is not available.","No"
