"canonical_id","paraphrase_id","question","expected_source"
"q-01","q-01-p1","My shift starts at 9:00 AM and I clock in at 9:04 AM. Am I late?","Attendance & Shift Check-In SOP"
"q-01","q-01-p2","If a worker starts at nine and checks in four minutes afterward, does that still count as on time?","Attendance & Shift Check-In SOP"
"q-01","q-01-p3","Is a check-in within five minutes after the scheduled start treated as late?","Attendance & Shift Check-In SOP"
"q-05","q-05-p1","I worked my shift but forgot to clock in and asked for a correction four days later. Who has to approve it?","Attendance & Shift Check-In SOP"
"q-05","q-05-p2","Whose approval is needed for a retroactive check-in submitted 96 hours after the shift?","Attendance & Shift Check-In SOP"
"q-05","q-05-p3","An employee was working but missed the TimeTrack check-in. Who signs off when the correction comes after 72 hours?","Attendance & Shift Check-In SOP"
"q-07","q-07-p1","A customer contacted support three times in five days about one unresolved problem. Which escalation level is required?","Customer Escalation Policy"
"q-07","q-07-p2","This is the customer's third contact in a week for the same unresolved issue. Where should it be escalated?","Customer Escalation Policy"
"q-07","q-07-p3","How do we route a case when the same customer reaches out at least three times within seven days without resolution?","Customer Escalation Policy"
"q-10","q-10-p1","An agent raised a Level 3 case and sent the manager a Slack message, but nobody acknowledged it. Who still owns the case?","Customer Escalation Policy"
"q-10","q-10-p2","Does sending a chat message transfer escalation ownership before the receiving manager accepts it?","Customer Escalation Policy"
"q-10","q-10-p3","The manager has not confirmed ownership in NSD after a Level 3 escalation. Is the original agent still responsible?","Customer Escalation Policy"
"q-12","q-12-p1","For five monthly QA reviews, what selection mix is required?","Quality Review Guidelines"
"q-12","q-12-p2","In a monthly sample of five quality audits, how many must be random and what recency or complexity rules apply?","Quality Review Guidelines"
"q-12","q-12-p3","Which kinds of cases should normally be represented when an employee receives five quality reviews?","Quality Review Guidelines"
"q-14","q-14-p1","A second reviewer changes an appealed quality score by seven percentage points. What is the next step?","Quality Review Guidelines"
"q-14","q-14-p2","Who adjudicates a QA appeal when the two scores differ by at least five percentage points?","Quality Review Guidelines"
"q-14","q-14-p3","The original and second Quality Analysts are seven points apart. What happens to the disputed review?","Quality Review Guidelines"
"q-17","q-17-p1","Can a refund requested 45 days after the charge still be considered, and who must approve it?","Refund & Exception Policy"
"q-17","q-17-p2","A customer asks for their money back six weeks after being charged. Is that allowed and whose sign-off is needed?","Refund & Exception Policy"
"q-17","q-17-p3","What approval is required when a refund request falls between 31 and 60 days after the original payment?","Refund & Exception Policy"
"q-19","q-19-p1","A customer is flagged for refund abuse but has a confirmed duplicate charge. Does the flag mean we must deny the refund?","Refund & Exception Policy"
"q-19","q-19-p2","The account is under suspected-abuse review, yet records prove the customer was charged twice. Should the billing error still be corrected?","Refund & Exception Policy"
"q-19","q-19-p3","Does a fraud flag override refund eligibility for a verified duplicate payment?","Refund & Exception Policy"
"q-21","q-21-p1","Can a new hire go straight into production after scoring 82% on the final training exam?","New Employee Training SOP"
"q-21","q-21-p2","A trainee gets 82 percent on the final assessment. What happens before they can begin production work?","New Employee Training SOP"
"q-21","q-21-p3","The final training score is below the 85% requirement at 82%. May the employee start live work immediately?","New Employee Training SOP"
"q-22","q-22-p1","During supervised production, may a trainee process a $500 refund alone because the queue is busy?","New Employee Training SOP"
"q-22","q-22-p2","Can a new employee independently handle a $500 refund while nesting if the team is understaffed?","New Employee Training SOP"
"q-22","q-22-p3","The queue is backed up and a trainee is told to approve a $500 refund without help. Is that permitted?","New Employee Training SOP"
